"","year","id","age","t","coll","nchild","nchildA","agey","Xt","Xf","Xp","wage","earn","husb","outmarr","outsplit","outn","outh","flag"
"1","2005",1,43,22,0,2,2,10,20,20,0,41.3326440584505,51359.8361495136,0,0,0,0,2,-1
"2","2006",1,44,23,0,2,2,11,21,21,0,40.9071322095962,48673.2142857143,0,1,0,0,2,-1
"3","2007",1,45,24,0,2,2,12,22,22,0,19.9175824175824,46000,1,0,0,0,2,-1
"4","2008",1,46,25,0,2,2,13,23,23,0,26.1197681390238,56716.0513323084,1,0,0,0,2,-1
"5","2009",1,47,26,0,2,2,14,24,24,0,18.0103095081043,58082.3360073088,1,0,0,0,2,-1
"6","2010",1,48,27,0,2,2,15,25,25,0,20.0200004577637,48000,1,0,0,0,2,-1
"7","2011",1,49,28,0,2,2,16,26,26,0,19.0660081674979,60102.8367690796,1,0,0,0,2,-1
"8","2012",1,50,29,0,1,2,17,27,27,0,22.0436054965015,55085.2722632125,1,0,0,0,2,-1
"9","2013",1,51,30,0,0,2,NA,28,28,0,18.8007111396406,NA,1,0,0,0,2,-1
"10","2014",1,52,31,0,0,2,NA,29,29,0,22.4838931414204,NA,1,0,1,0,2,-1
"11","2015",1,53,32,0,0,2,NA,30,30,0,20.2198136017229,NA,0,0,0,0,2,-1
"12","2016",1,54,33,0,0,2,NA,31,31,0,22.895212916138,NA,0,0,0,0,2,-1
"13","2017",1,55,34,0,0,2,NA,32,32,0,27.6978189347641,NA,0,0,0,0,2,-1
"14","2018",1,56,35,0,0,2,NA,33,33,0,35.0564519790012,NA,0,0,0,0,2,-1
"15","2005",2,43,22,0,2,2,15,20,10,10,12.211917562724,NA,1,0,1,0,1,-1
"16","2006",2,44,23,0,1,2,16,21,10,11,10.7621882857595,NA,0,0,0,0,1,-1
"17","2007",2,45,24,0,1,2,17,22,10,12,NA,NA,0,0,0,0,0,-1
"18","2008",2,46,25,0,0,2,NA,22,10,12,4.58792365062247,NA,0,0,0,0,1,-1
"19","2009",2,47,26,0,0,2,NA,23,10,13,15.4312160681814,NA,0,0,0,0,2,-1
"20","2010",2,48,27,0,0,2,NA,24,11,13,16.4899997711182,NA,0,0,0,0,2,-1
"21","2011",2,49,28,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"22","2012",2,50,29,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"23","2013",2,51,30,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"24","2014",2,52,31,0,0,2,NA,25,12,13,NA,32569.8675317653,0,0,0,0,0,-1
"25","2015",2,53,32,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"26","2016",2,54,33,0,0,2,NA,25,12,13,7.09569865680057,NA,0,0,0,0,0,-1
"27","2017",2,55,34,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"28","2018",2,56,35,0,0,2,NA,25,12,13,NA,NA,0,0,0,0,0,-1
"29","2001",3,39,18,0,0,0,NA,13,13,0,NA,39400.2936194241,0,0,0,0,0,-1
"30","2002",3,40,19,0,0,0,NA,13,13,0,6.569558291475,27878.1989994441,0,1,0,0,1,-1
"31","2003",3,41,20,0,0,0,NA,14,13,1,8.14747282608696,29627.1739130435,1,0,0,0,1,-1
"32","2004",3,42,21,0,0,0,NA,15,13,2,8.7153141428845,31167.3478030704,1,0,0,0,1,-1
"33","2005",3,43,22,0,0,0,NA,16,13,3,NA,25679.9180747568,1,0,0,0,2,-1
"34","2006",3,44,23,0,0,0,NA,17,14,3,11.2272882190205,24877.4206349206,1,0,0,0,2,-1
"35","2007",3,45,24,0,0,0,NA,18,15,3,7.93269230769231,30000,1,0,0,0,2,-1
"36","2008",3,46,25,0,0,0,NA,19,16,3,8.93277777576063,32409.1721898905,1,0,0,0,2,-1
"37","2009",3,47,26,0,0,0,NA,20,17,3,8.69806212376492,21344.4580655085,1,0,0,0,2,-1
"38","2010",3,48,27,0,0,0,NA,21,18,3,8.64999961853027,14574,1,0,0,0,2,-1
"39","2011",3,49,28,0,0,0,NA,22,19,3,8.38904359369908,13.5716083026954,1,0,0,0,2,-1
"40","2012",3,50,29,0,0,0,NA,23,20,3,8.37676007846281,30391.8743521172,1,0,0,0,2,-1
"41","2013",3,51,30,0,0,0,NA,24,21,3,6.75025532939225,28081.0621702718,1,0,0,0,2,-1
"42","2014",3,52,31,0,0,0,NA,25,22,3,8.32668555556326,16579.6836982968,1,0,0,0,2,-1
"43","2015",3,53,32,0,0,0,NA,26,23,3,7.9615516056784,32200.0531607437,1,0,0,0,2,-1
"44","2016",3,54,33,0,0,0,NA,27,24,3,12.6650495548049,36341.6067031378,1,0,0,0,2,-1
"45","2017",3,55,34,0,0,0,NA,28,25,3,7.69836438039767,NA,1,0,0,0,2,-1
"46","2018",3,56,35,0,0,0,NA,29,26,3,10.854735232391,NA,1,0,0,0,2,-1
"47","2007",4,45,24,0,0,3,NA,22,22,0,16.3461538461538,NA,0,0,0,0,2,-1
"48","2008",4,46,25,0,0,3,NA,23,23,0,19.5163988417166,NA,0,1,0,0,2,-1
"49","2009",4,47,26,0,0,3,NA,24,24,0,21.9894828971585,NA,1,0,1,0,2,-1
"50","2010",4,48,27,0,0,3,NA,25,25,0,22.5,NA,0,0,0,0,2,-1
"51","2011",4,49,28,0,0,3,NA,26,26,0,16.7780871873982,NA,0,0,0,0,2,-1
"52","2012",4,50,29,0,0,3,NA,27,27,0,18.1876369452958,NA,0,0,0,0,2,-1
"53","2013",4,51,30,0,0,3,NA,28,28,0,14.4005447027035,NA,0,0,0,0,2,-1
"54","2014",4,52,31,0,0,3,NA,29,29,0,16.5796836982968,NA,0,0,0,0,2,-1
"55","2015",4,53,32,0,0,3,NA,30,30,0,15.1648602012922,NA,0,0,0,0,2,-1
"56","2016",4,54,33,0,0,3,NA,31,31,0,15.5723779177656,NA,0,0,0,0,2,-1
"57","2017",4,55,34,0,0,3,NA,32,32,0,13.5059024217503,NA,0,0,0,0,2,-1
"58","2018",4,56,35,0,0,3,NA,33,33,0,22.1870781524867,NA,0,0,0,0,2,-1
"59","2005",5,43,22,0,2,3,11,21,21,0,25.7658040883847,NA,1,0,0,0,1,-1
"60","2006",5,44,23,0,2,3,12,22,21,1,21.0700931556641,NA,1,0,1,0,1,-1
"61","2007",5,45,24,0,2,3,13,23,21,2,9.13461538461539,NA,0,0,0,0,2,-1
"62","2008",5,46,25,0,2,3,14,24,22,2,11.2014205631131,NA,0,0,0,0,2,-1
"63","2009",5,47,26,0,1,3,15,25,23,2,13.6823449137875,NA,0,0,0,0,2,-1
"64","2010",5,48,27,0,1,3,16,26,24,2,14.7399997711182,NA,0,0,0,0,2,-1
"65","2011",5,49,28,0,1,3,17,27,25,2,9.43082024912576,NA,0,0,0,0,2,-1
"66","2012",5,50,29,0,0,3,NA,28,26,2,16.7630178350403,NA,0,0,0,0,2,-1
"67","2013",5,51,30,0,0,3,NA,29,27,2,13.0004917454962,NA,0,0,0,0,2,-1
"68","2014",5,52,31,0,0,3,NA,30,28,2,13.4479660177656,NA,0,0,0,0,2,-1
"69","2015",5,53,32,0,0,3,NA,31,29,2,17.6923369015076,NA,0,0,0,0,2,-1
"70","2016",5,54,33,0,0,3,NA,32,30,2,11.129617052836,NA,0,0,0,0,2,-1
"71","2017",5,55,34,0,0,3,NA,33,31,2,12.4418010188245,NA,0,0,0,0,2,-1
"72","2018",5,56,35,0,0,3,NA,34,32,2,12.1486194733358,NA,0,0,0,0,2,-1
"73","2000",6,38,17,0,3,4,5,15,15,0,16.3731948115297,NA,0,0,0,0,1,-1
"74","2001",6,39,18,0,3,4,6,16,15,1,22.4941580158971,NA,0,0,0,0,2,-1
"75","2002",6,40,19,0,3,4,7,17,16,1,26.2176269983331,NA,0,0,0,0,2,-1
"76","2003",6,41,20,0,3,4,8,18,17,1,17.0926003344482,NA,0,0,0,0,2,-1
"77","2004",6,42,21,0,3,4,9,19,18,1,19.8085808720344,NA,0,0,0,0,2,-1
"78","2005",6,43,22,0,3,4,10,20,19,1,16.1036275552405,NA,0,0,0,0,2,-1
"79","2006",6,44,23,0,3,4,11,21,20,1,19.7721420125356,NA,0,0,0,0,2,-1
"80","2007",6,45,24,0,3,4,12,22,21,1,14.4230769230769,NA,0,0,0,0,2,-1
"81","2008",6,46,25,0,3,4,13,23,22,1,18.4630998183113,NA,0,0,0,0,2,-1
"82","2009",6,47,26,0,3,4,14,24,23,1,7.32982763238617,NA,0,0,0,0,2,-1
"83","2010",6,48,27,0,2,4,15,25,24,1,7.5,NA,0,0,0,0,2,-1
"84","2011",6,49,28,0,2,4,16,26,25,1,11.6514494356932,NA,0,0,0,0,2,-1
"85","2012",6,50,29,0,1,4,17,27,26,1,18.1876369452958,NA,0,0,0,0,2,-1
"86","2005",7,43,22,0,1,4,17,2,1,1,NA,NA,1,0,0,0,0,-1
"87","2006",7,44,23,0,0,4,NA,2,1,1,NA,NA,1,0,0,0,0,-1
"88","2007",7,45,24,0,0,4,NA,2,1,1,3.78787878787879,NA,1,0,0,0,2,-1
"89","2008",7,46,25,0,0,4,NA,3,2,1,6.66413595427675,NA,1,0,0,0,2,-1
"90","2009",7,47,26,0,0,4,NA,4,3,1,7.85105981957807,30492.0829507264,1,0,0,0,1,-1
"91","2010",7,48,27,0,0,4,NA,5,3,2,15.6300001144409,30000,1,0,0,0,1,-1
"92","2011",7,49,28,0,0,4,NA,6,3,3,11.1853914582654,39745.4243150365,1,0,0,0,0,-1
"93","2012",7,50,29,0,0,4,NA,6,3,3,NA,19944.6675435769,1,0,0,0,1,-1
"94","2009",8,47,26,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"95","2010",8,48,27,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"96","2011",8,49,28,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"97","2012",8,50,29,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"98","2013",8,51,30,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"99","2014",8,52,31,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"100","2015",8,53,32,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"101","2016",8,54,33,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"102","2017",8,55,34,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"103","2018",8,56,35,0,0,1,NA,5,5,0,NA,NA,0,0,0,0,0,-1
"104","2001",10,39,18,1,2,2,4,17,14,3,33.1492854971116,NA,1,0,0,0,2,-1
"105","2002",10,40,19,1,2,2,5,18,15,3,38.3022216963967,NA,1,0,1,0,2,-1
"106","2003",10,41,20,1,2,2,6,19,16,3,39.7199474438605,NA,0,0,0,0,2,-1
"107","2004",10,42,21,1,2,2,7,20,17,3,52.0610125318843,NA,0,0,0,0,1,-1
"108","2005",10,43,22,1,2,2,8,21,17,4,39.8756491844049,NA,0,0,0,0,2,-1
"109","2006",10,44,23,1,2,2,9,22,18,4,47.6781194408356,NA,0,0,0,0,1,-1
"110","2007",10,45,24,1,2,2,10,23,18,5,40.1098901098901,NA,0,0,0,0,2,-1
"111","2008",10,46,25,1,2,2,11,24,19,5,47.4794383399625,NA,0,0,0,0,2,-1
"112","2009",10,47,26,1,2,2,12,25,20,5,40.7678032125097,NA,0,0,0,0,2,-1
"113","2010",10,48,27,1,2,2,13,26,21,5,42.5499992370605,NA,0,0,0,0,2,-1
"114","2011",10,49,28,1,2,2,14,27,22,5,38.8825512596846,NA,0,0,0,0,2,-1
"115","2012",10,50,29,1,2,2,15,28,23,5,33.7919670342973,NA,0,0,0,0,2,-1
"116","2013",10,51,30,1,1,2,16,29,24,5,43.5500343831758,NA,0,0,0,0,1,-1
"117","2014",10,52,31,1,1,2,17,30,24,6,68.9070053884357,92109.3538794269,0,1,0,0,1,-1
"118","2015",10,53,32,1,0,2,NA,31,24,7,NA,110400.182265407,1,0,0,0,0,-1
"119","2016",10,54,33,1,0,2,NA,31,24,7,NA,109024.820109413,1,0,0,0,0,-1
"120","2017",10,55,34,1,0,2,NA,31,24,7,29.3271024015149,85400.5221932115,1,0,0,0,1,-1
"121","2018",10,56,35,1,0,2,NA,32,24,8,28.6304507089872,90311.3971334929,1,0,0,0,1,-1
"122","2000",11,38,17,0,2,2,4,13,11,2,7.95233290214849,NA,1,0,0,0,2,-1
"123","2001",11,39,18,0,2,2,5,14,12,2,8.38499337618903,NA,1,0,1,0,2,-1
"124","2002",11,40,19,0,1,2,6,15,13,2,8.36345981542769,NA,0,0,0,0,2,-1
"125","2003",11,41,20,0,1,2,7,16,14,2,NA,NA,0,0,0,0,0,-1
"126","2004",11,42,21,0,1,2,8,16,14,2,NA,NA,0,0,0,0,0,-1
"127","2005",11,43,22,0,1,2,9,16,14,2,NA,NA,0,0,0,0,0,-1
"128","2006",11,44,23,0,1,2,10,16,14,2,NA,NA,0,0,0,0,0,-1
"129","2007",11,45,24,0,1,2,11,16,14,2,NA,NA,0,0,0,0,0,-1
"130","2008",11,46,25,0,1,2,12,16,14,2,NA,NA,0,0,0,0,0,-1
"131","2009",11,47,26,0,1,2,13,16,14,2,NA,NA,0,0,0,0,0,-1
"132","2010",11,48,27,0,1,2,14,16,14,2,NA,NA,0,0,0,0,0,-1
"133","2011",11,49,28,0,1,2,15,16,14,2,NA,NA,0,0,0,0,0,-1
"134","2012",11,50,29,0,1,2,16,16,14,2,NA,NA,0,0,0,0,0,-1
"135","2013",11,51,30,0,1,2,17,16,14,2,NA,NA,0,0,0,0,0,-1
"136","2014",11,52,31,0,0,2,NA,16,14,2,NA,NA,0,0,0,0,0,-1
"137","2015",11,53,32,0,0,2,NA,16,14,2,NA,NA,0,0,0,0,0,-1
"138","2016",11,54,33,0,0,2,NA,16,14,2,NA,NA,0,0,0,0,0,-1
"139","2017",11,55,34,0,0,2,NA,16,14,2,NA,NA,0,0,0,0,0,-1
"140","2018",11,56,35,0,0,2,NA,16,14,2,NA,NA,0,0,0,0,0,-1
"141","2001",13,39,18,0,2,3,13,16,16,0,22.4941580158971,NA,0,0,0,0,2,-1
"142","2002",13,40,19,0,2,3,14,17,17,0,16.7632821754511,NA,0,0,0,0,2,-1
"143","2003",13,41,20,0,2,3,15,18,18,0,19.7514492753623,NA,0,0,0,0,2,-1
"144","2004",13,42,21,0,2,3,16,19,19,0,23.9757714124834,NA,0,0,0,0,2,-1
"145","2005",13,43,22,0,1,3,17,20,20,0,25.4974102957974,NA,0,0,0,0,2,-1
"146","2006",13,44,23,0,0,3,NA,21,21,0,26.2078213302673,NA,0,0,0,0,2,-1
"147","2007",13,45,24,0,0,3,NA,22,22,0,28.8461538461538,NA,0,0,0,0,1,-1
"148","2008",13,46,25,0,0,3,NA,23,22,1,21.4710773484974,NA,0,0,0,0,1,-1
"149","2009",13,47,26,0,0,3,NA,24,22,2,16.288505849747,NA,0,0,0,0,1,-1
"150","2010",13,48,27,0,0,3,NA,25,22,3,17.2900009155273,NA,0,0,0,0,1,-1
"151","2011",13,49,28,0,0,3,NA,26,22,4,13.0496233679763,NA,0,0,0,0,1,-1
"152","2012",13,50,29,0,0,3,NA,27,22,5,19.38431721529,NA,0,0,0,0,1,-1
"153","2013",13,51,30,0,0,3,NA,28,22,6,27.001021317569,NA,0,0,0,0,1,-1
"154","2014",13,52,31,0,0,3,NA,29,22,7,26.4538058017067,NA,0,0,0,0,1,-1
"155","2015",13,53,32,0,0,3,NA,30,22,8,NA,NA,0,0,0,0,0,-1
"156","2016",13,54,33,0,0,3,NA,30,22,8,NA,NA,0,0,0,0,0,-1
"157","2017",13,55,34,0,0,3,NA,30,22,8,NA,NA,0,0,0,0,0,-1
"158","2018",13,56,35,0,0,3,NA,30,22,8,NA,NA,0,0,0,0,0,-1
"159","2003",15,41,20,0,1,2,13,7,2,5,NA,NA,1,0,1,0,0,-1
"160","2004",15,42,21,0,1,2,14,7,2,5,NA,NA,0,0,0,0,0,-1
"161","2005",15,43,22,0,1,2,15,7,2,5,NA,NA,0,0,0,0,0,-1
"162","2006",15,44,23,0,1,2,16,7,2,5,NA,NA,0,0,0,0,0,-1
"163","2007",15,45,24,0,1,2,17,7,2,5,NA,NA,0,0,0,0,0,-1
"164","2008",15,46,25,0,0,2,NA,7,2,5,3.89922843250934,NA,0,0,0,0,1,-1
"165","2009",15,47,26,0,0,2,NA,8,2,6,13.6823449137875,NA,0,0,0,0,2,-1
"166","2010",15,48,27,0,0,2,NA,9,3,6,6.19999980926514,NA,0,0,0,0,2,-1
"167","2011",15,49,28,0,0,2,NA,10,4,6,6.9908696614159,NA,0,0,0,0,2,-1
"168","2012",15,50,29,0,0,2,NA,11,5,6,9.63042551139658,NA,0,0,0,0,2,-1
"169","2013",15,51,30,0,0,2,NA,12,6,6,6.07522979645303,NA,0,0,0,0,2,-1
"170","2014",15,52,31,0,0,2,NA,13,7,6,5.75683461746418,NA,0,0,0,0,2,-1
"171","2015",15,53,32,0,0,2,NA,14,8,6,11.0740923568695,NA,0,0,0,0,1,-1
"172","2016",15,54,33,0,0,2,NA,15,8,7,NA,NA,0,0,0,0,0,-1
"173","2017",15,55,34,0,0,2,NA,15,8,7,NA,NA,0,0,0,0,0,-1
"174","2018",15,56,35,0,0,2,NA,15,8,7,5.7052489872118,NA,0,0,0,0,1,-1
"175","2007",16,45,24,0,2,3,13,21,21,0,62.5,NA,1,0,0,0,2,-1
"176","2008",16,46,25,0,2,3,14,22,22,0,53.1611719576585,NA,1,0,1,0,2,-1
"177","2009",16,47,26,0,1,3,15,23,23,0,33.228551933484,NA,0,0,0,0,2,-1
"178","2010",16,48,27,0,1,3,16,24,24,0,12.25,NA,0,0,0,0,2,-1
"179","2011",16,49,28,0,1,3,17,25,25,0,29.9608699774967,NA,0,0,0,0,2,-1
"180","2012",16,50,29,0,0,3,NA,26,26,0,46.4615761767622,NA,0,0,0,0,2,-1
"181","2013",16,51,30,0,0,3,NA,27,27,0,3.7441416227029,NA,0,0,0,0,1,-1
"182","2014",16,52,31,0,0,3,NA,28,27,1,NA,78292.9507975129,0,0,0,0,0,-1
"183","2015",16,53,32,0,0,3,NA,28,27,1,8.40386002821609,NA,0,1,0,0,2,-1
"184","2016",16,54,33,0,0,3,NA,29,28,1,20.0423956115677,NA,1,0,1,0,2,-1
"185","2017",16,55,34,0,0,3,NA,30,29,1,15.738878288813,NA,0,0,0,0,2,-1
"186","2018",16,56,35,0,0,3,NA,31,30,1,15.2574155776406,NA,0,0,0,0,2,-1
"187","2005",17,43,22,0,0,2,NA,21,21,0,7.15716780232909,NA,1,0,0,0,1,-1
"188","2006",17,44,23,0,0,2,NA,22,21,1,NA,36775.3174603175,1,0,0,0,0,-1
"189","2007",17,45,24,0,0,2,NA,22,21,1,NA,15000,1,0,0,0,0,-1
"190","2008",17,46,25,0,0,2,NA,22,21,1,NA,26332.4524042861,1,0,0,0,0,-1
"191","2009",17,47,26,0,0,2,NA,22,21,1,NA,34557.6940108233,1,0,0,0,0,-1
"192","2010",17,48,27,0,0,2,NA,22,21,1,NA,54000,1,0,0,0,0,-1
"193","2011",17,49,28,0,0,2,NA,22,21,1,NA,43623.0266872352,1,0,0,0,0,-1
"194","2012",17,50,29,0,0,2,NA,22,21,1,NA,33241.1125726282,1,0,0,0,0,-1
"195","2013",17,51,30,0,0,2,NA,22,21,1,NA,12168.4602737844,1,0,0,0,0,-1
"196","2014",17,52,31,0,0,2,NA,22,21,1,NA,12895.3095431198,1,0,0,0,0,-1
"197","2009",18,47,26,0,1,2,17,25,25,0,NA,NA,1,0,1,0,0,-1
"198","2010",18,48,27,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"199","2011",18,49,28,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"200","2012",18,50,29,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"201","2013",18,51,30,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"202","2014",18,52,31,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"203","2015",18,53,32,0,0,2,NA,25,25,0,NA,NA,0,0,0,0,0,-1
"204","2016",18,54,33,0,0,2,NA,25,25,0,17.2622631839905,NA,0,0,0,0,1,-1
"205","2017",18,55,34,0,0,2,NA,26,25,1,NA,NA,0,0,0,0,1,-1
"206","2018",18,56,35,0,0,2,NA,27,25,2,16.4991975532343,NA,0,0,0,0,1,-1
"207","2009",19,47,26,0,0,0,NA,16,16,0,8.30713798337099,NA,0,0,0,0,2,-1
"208","2010",19,48,27,0,0,0,NA,17,17,0,10.2299995422363,NA,0,0,0,0,2,-1
"209","2011",19,49,28,0,0,0,NA,18,18,0,7.92298561627135,NA,0,0,0,0,2,-1
"210","2012",19,50,29,0,0,0,NA,19,19,0,6.77168961277093,NA,0,0,0,0,2,-1
"211","2013",19,51,30,0,0,0,NA,20,20,0,15.2614468316694,NA,0,0,0,0,1,-1
"212","2014",19,52,31,0,0,0,NA,21,20,1,10.8781150796665,NA,0,0,0,0,1,-1
"213","2015",19,53,32,0,0,0,NA,22,20,2,NA,NA,0,0,0,0,0,-1
"214","2016",19,54,33,0,0,0,NA,22,20,2,NA,NA,0,0,0,0,0,-1
"215","2017",19,55,34,0,0,0,NA,22,20,2,NA,NA,0,0,0,0,0,-1
"216","2018",19,56,35,0,0,0,NA,22,20,2,NA,NA,0,0,0,0,0,-1
"217","2009",20,47,26,0,0,1,NA,24,24,0,19.5462070196964,NA,0,0,0,0,2,-1
"218","2010",20,48,27,0,0,1,NA,25,25,0,17.8199996948242,2210,0,0,0,0,2,-1
"219","2011",20,49,28,0,0,1,NA,26,26,0,16.3120292099704,NA,0,0,0,0,2,-1
"220","2012",20,50,29,0,0,1,NA,27,27,0,16.7630178350403,27284.3051996132,0,0,0,0,2,-1
"221","2013",20,51,30,0,0,1,NA,28,28,0,14.4805477288296,NA,0,0,0,0,2,-1
"222","2014",20,52,31,0,0,1,NA,29,29,0,13.1163717816088,NA,0,0,0,0,2,-1
"223","2015",20,53,32,0,0,1,NA,30,30,0,19.903879014196,NA,0,0,0,0,2,-1
"224","2016",20,54,33,0,0,1,NA,31,31,0,23.3313117806789,NA,0,0,0,0,2,-1
"225","2005",21,43,22,1,0,0,NA,21,18,3,37.8576507438986,NA,1,0,0,0,2,-1
"226","2006",21,44,23,1,0,0,NA,22,19,3,41.480393190838,NA,1,0,1,0,2,-1
"227","2007",21,45,24,1,0,0,NA,23,20,3,31.3059033989267,NA,0,0,0,0,2,-1
"228","2008",21,46,25,1,0,0,NA,24,21,3,40.0050719218961,NA,0,0,0,0,2,-1
"229","2009",21,47,26,1,0,0,NA,25,22,3,38.5641381739957,NA,0,0,0,0,2,-1
"230","2010",21,48,27,1,0,0,NA,26,23,3,44.8600006103516,NA,0,0,0,0,2,-1
"231","2011",21,49,28,1,0,0,NA,27,24,3,37.2846381942181,NA,0,0,0,0,2,-1
"232","2012",21,50,29,1,0,0,NA,28,25,3,47.3638356711894,NA,0,0,0,0,2,-1
"233","2013",21,51,30,1,0,0,NA,29,26,3,32.652397872409,NA,0,0,0,0,2,-1
"234","2014",21,52,31,1,0,0,NA,30,27,3,37.2490214439107,NA,0,0,0,0,2,-1
"235","2015",21,53,32,1,0,0,NA,31,28,3,37.2973588734484,NA,0,0,0,0,2,-1
"236","2016",21,54,33,1,0,0,NA,32,29,3,38.803749725482,NA,0,0,0,0,2,-1
"237","2017",21,55,34,1,0,0,NA,33,30,3,39.1671170230759,NA,0,0,0,0,2,-1
"238","2018",21,56,35,1,0,0,NA,34,31,3,42.2987314585566,NA,0,0,0,0,2,-1
"239","2003",22,41,20,0,0,1,NA,19,19,0,11.5659928929766,10428.7652173913,0,0,0,0,2,-1
"240","2004",22,42,21,0,0,1,NA,20,20,0,11.220245517349,28620.8600529381,0,1,0,0,1,-1
"241","2005",22,43,22,0,0,1,NA,21,20,1,9.54289040310546,25679.9180747568,1,0,0,0,2,-1
"242","2006",22,44,23,0,0,1,NA,22,21,1,7.33343117931533,27040.6746031746,1,0,0,0,2,-1
"243","2007",22,45,24,0,0,1,NA,23,22,1,17.3076923076923,30000,1,0,0,0,2,-1
"244","2008",22,46,25,0,0,1,NA,24,23,1,21.7040178099953,33205.2224818047,1,0,0,0,2,-1
"245","2009",22,47,26,0,0,1,NA,25,24,1,18.0802414932192,NA,1,0,0,0,2,-1
"246","2010",22,48,27,0,0,1,NA,26,25,1,18.7700004577637,NA,1,0,0,0,2,-1
"247","2011",22,49,28,0,0,1,NA,27,26,1,22.3707829165309,NA,1,0,1,0,2,-1
"248","2012",22,50,29,0,0,1,NA,28,27,1,45.7872573340931,NA,0,0,0,0,2,-1
"249","2013",22,51,30,0,0,1,NA,29,28,1,24.7509362077716,NA,0,0,0,0,2,-1
"250","2014",22,52,31,0,0,1,NA,30,29,1,64.4212843520347,NA,0,0,0,0,2,-1
"251","2015",22,53,32,0,0,1,NA,31,30,1,27.2368870720577,NA,0,0,0,0,1,-1
"252","2016",22,54,33,0,0,1,NA,32,30,2,29.8818855571262,NA,0,0,0,0,1,-1
"253","2017",22,55,34,0,0,1,NA,33,30,3,NA,NA,0,0,0,0,2,-1
"254","2018",22,56,35,0,0,1,NA,34,31,3,NA,NA,0,0,0,0,0,-1
"255","2001",23,39,18,0,0,0,NA,15,15,0,12.1350062980498,34475.256916996,0,0,0,0,2,-1
"256","2002",23,40,19,0,0,0,NA,16,16,0,14.9087762178481,46059.6331295164,0,1,0,0,2,-1
"257","2003",23,41,20,0,0,0,NA,17,17,0,10.2555602006689,45033.3043478261,1,0,0,0,2,-1
"258","2004",23,42,21,0,0,0,NA,18,18,0,10.0774419279083,53587.0599894124,1,0,0,0,2,-1
"259","2005",23,43,22,0,0,0,NA,19,19,0,NA,50243.3179723502,1,0,0,0,0,-1
"260","2006",23,44,23,0,0,0,NA,19,19,0,NA,48673.2142857143,1,0,0,0,0,-1
"261","2007",23,45,24,0,0,0,NA,19,19,0,10.5769230769231,55000,1,0,0,0,2,-1
"262","2008",23,46,25,0,0,0,NA,20,20,0,8.86188302067319,76212.1939777894,1,0,0,0,0,-1
"263","2009",23,47,26,0,0,0,NA,20,20,0,15.5283755767588,55902.1520763318,1,0,0,0,1,-1
"264","2010",23,48,27,0,0,0,NA,21,20,1,8.82999992370605,53888,1,0,0,0,2,-1
"265","2005",24,43,22,0,0,1,NA,20,20,0,12.4925110731562,53592.8725038402,1,0,0,0,2,-1
"266","2006",24,44,23,0,0,1,NA,21,21,0,16.8517483301768,86530.1587301587,1,0,0,0,2,-1
"267","2007",24,45,24,0,0,1,NA,22,22,0,14.6153846153846,60000,1,0,0,0,2,-1
"268","2008",24,46,25,0,0,1,NA,23,23,0,18.159264601726,55703.2647013743,1,0,0,0,2,-1
"269","2009",24,47,26,0,0,1,NA,24,24,0,15.6369656157572,58951.3603714045,1,0,0,0,2,-1
"270","2010",24,48,27,0,0,1,NA,25,25,0,19.6800003051758,60000,1,0,0,0,2,-1
"271","2011",24,49,28,0,0,1,NA,26,26,0,13.9817393228318,46531.2284663842,1,0,0,0,2,-1
"272","2012",24,50,29,0,0,1,NA,27,27,0,14.7210641393068,47487.3036751832,1,0,0,0,2,-1
"273","2013",24,51,30,0,0,1,NA,28,28,0,13.5005106587845,NA,1,0,0,0,2,-1
"274","2014",24,52,31,0,0,1,NA,29,29,0,19.3429643146796,47494.3461408489,1,0,0,0,2,-1
"275","2015",24,53,32,0,0,1,NA,30,30,0,NA,NA,1,0,1,0,2,-1
"276","2016",24,54,33,0,0,1,NA,31,31,0,21.2416683555068,NA,0,0,0,0,2,-1
"277","2017",24,55,34,0,0,1,NA,32,32,0,20.9566585910825,NA,0,0,0,0,2,-1
